X--Trace 1::[transient: TIME],Y--Trace 1::[I_col: I(Q1:C)],,X--Trace 2::[transient: TIME],Y--Trace 2::[I_base: I(Q1:B)]
0.0888677740799117,0.012695553915207932,,0.0888677740799117,0.00009013731760450049
0.0889677740799117,0.012539996397185794,,0.0889677740799117,0.00008890165216782923
0.089,0.012490003419863687,,0.089,0.00008850570154444226
0.08900000009999999,0.012490003265153522,,0.08900000009999999,0.00008850570057758793
0.08900000029999999,0.012490002955681848,,0.08900000029999999,0.00008850569916332859
0.0890000007,0.012490002336882857,,0.0890000007,0.0000885056994535835
0.089000001,0.012490001873381286,,0.089000001,0.0000885057024001147
0.08900000108,0.01249000174997724,,0.08900000108,0.00008850570349765457
0.08900000124,0.012490001503351774,,0.08900000124,0.00008850570569266147
0.08900000156,0.01249000101129229,,0.08900000156,0.00008850571008221265
0.0890000022,0.012490000032401439,,0.0890000022,0.00008850571885961868
0.08900000347999999,0.012489998096337667,,0.08900000347999999,0.00008850573640797963
0.08900000604,0.012489994310956699,,0.08900000604,0.00008850577147934175
0.08900001115999999,0.012489987080936845,,0.08900001115999999,0.00008850584152243977
0.08900002139999999,0.012489973935725986,,0.08900002139999999,0.00008850598122420469
0.08900004187999998,0.012489952543216373,,0.08900004187999998,0.0000885062591956513
0.08900008283999995,0.012489926797659132,,0.08900008283999995,0.00008850681015624124
0.0890001647599999,0.012489927382418142,,0.0890001647599999,0.00008850789684920701
0.08900032859999982,0.01249005416368494,,0.08900032859999982,0.00008851003349481137
0.08900065627999965,0.012490507398293795,,0.08900065627999965,0.00008851424833412362
0.0890013116399993,0.012491563035653326,,0.0890013116399993,0.00008852263407811257
0.08900262235999862,0.012493682810081697,,0.08900262235999862,0.00008853940175938215
0.08900524379999723,0.012497917778745827,,0.08900524379999723,0.00008857293317220264
0.08901048667999448,0.012506386115680605,,0.08901048667999448,0.00008863997531796956
0.08902097243998895,0.012523304567144464,,0.08902097243998895,0.00008877398037565842
0.08904194395997792,0.01255707876255363,,0.08904194395997792,0.00008904167083943164
0.08908388699995584,0.012624367883267738,,0.08908388699995584,0.00008957577768106483
0.0891677730799117,0.01275792497287049,,0.0891677730799117,0.00009063890694004601
0.0892677730799117,0.01291537171876906,,0.0892677730799117,0.00009189743149660577
0.0893677730799117,0.013070924778643186,,0.0893677730799117,0.00009314640486798383
0.0894677730799117,0.013224607704477124,,0.0894677730799117,0.00009438588055435064
0.089500001,0.013273742811998241,,0.089500001,0.00009478332087524273
